pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,tempo_resposta
O que é a Lei de Acesso à Informação?,"['ARTIGO_1', 'ARTIGO_2', 'PREAMBULO']","['ARTIGO_9', 'ARTIGO_20', 'ARTIGO_21', 'ARTIGO_7', 'ARTIGO_16', 'ARTIGO_13', 'ARTIGO_10', 'ARTIGO_31', 'ARTIGO_5', 'ARTIGO_24']",0.0,0.0,0.0,0.03300929069519043
Como solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11', 'ARTIGO_12']","['ARTIGO_3', 'ARTIGO_25', 'ARTIGO_24', 'ARTIGO_7', 'ARTIGO_39', 'ARTIGO_23', 'ARTIGO_31', 'ARTIGO_27', 'ARTIGO_32', 'ARTIGO_16']",0.0,0.0,0.0,0.002000570297241211
Qual o prazo para resposta do pedido de informação?,"['ARTIGO_11', 'ARTIGO_15', 'ARTIGO_16']","['ARTIGO_11', 'ARTIGO_10', 'ARTIGO_9', 'ARTIGO_28', 'ARTIGO_33', 'ARTIGO_16', 'ARTIGO_29', 'ARTIGO_35', 'ARTIGO_24', 'ARTIGO_8']",0.2,0.6666666666666666,0.30769230769230765,0.0019986629486083984
Quais informações podem ser negadas?,"['ARTIGO_21', 'ARTIGO_22', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_21', 'ARTIGO_4', 'ARTIGO_16', 'ARTIGO_13', 'ARTIGO_24', 'ARTIGO_11', 'ARTIGO_18', 'ARTIGO_126', 'ARTIGO_31', 'ARTIGO_27']",0.4,0.5,0.4444444444444445,0.002000570297241211
Quem pode solicitar informações públicas?,"['ARTIGO_10', 'ARTIGO_11']","['ARTIGO_10', 'ARTIGO_4', 'ARTIGO_45', 'ARTIGO_126', 'ARTIGO_44', 'ARTIGO_116', 'ARTIGO_43', 'ARTIGO_42', 'ARTIGO_41', 'ARTIGO_40']",0.2,0.5,0.28571428571428575,0.002515077590942383
Quais são as informações classificadas como sigilosas?,"['ARTIGO_23', 'ARTIGO_24', 'ARTIGO_25']","['ARTIGO_39', 'ARTIGO_26', 'ARTIGO_24', 'ARTIGO_37', 'ARTIGO_30', 'ARTIGO_25', 'ARTIGO_3', 'ARTIGO_31', 'ARTIGO_1', 'ARTIGO_7']",0.2,0.6666666666666666,0.30769230769230765,0.0009996891021728516
Quais são as penalidades para quem não cumprir a LAI?,"['ARTIGO_32', 'ARTIGO_33', 'ARTIGO_34']","['ARTIGO_26', 'ARTIGO_31', 'ARTIGO_8', 'ARTIGO_2', 'ARTIGO_1', 'ARTIGO_32', 'ARTIGO_11', 'ARTIGO_40', 'ARTIGO_4', 'ARTIGO_116']",0.0,0.3333333333333333,0.0,0.004999876022338867
Como recorrer de uma negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17']","['ARTIGO_14', 'ARTIGO_16', 'ARTIGO_7', 'ARTIGO_9', 'ARTIGO_17', 'ARTIGO_15', 'ARTIGO_24', 'ARTIGO_3', 'ARTIGO_25', 'ARTIGO_39']",0.4,1.0,0.5714285714285715,0.0019996166229248047
Quais são os prazos de sigilo das informações?,"['ARTIGO_24', 'ARTIGO_27', 'ARTIGO_28']","['ARTIGO_22', 'ARTIGO_30', 'ARTIGO_28', 'ARTIGO_29', 'ARTIGO_8', 'ARTIGO_24', 'ARTIGO_39', 'ARTIGO_27', 'ARTIGO_31', 'ARTIGO_3']",0.2,1.0,0.33333333333333337,0.0020003318786621094
Como a LAI protege informações pessoais?,"['ARTIGO_31', 'ARTIGO_32']","['ARTIGO_31', 'ARTIGO_30', 'ARTIGO_34', 'ARTIGO_3', 'ARTIGO_25', 'ARTIGO_24', 'ARTIGO_7', 'ARTIGO_39', 'ARTIGO_23', 'ARTIGO_27']",0.2,0.5,0.28571428571428575,0.0019996166229248047
