TEXT	LEMMA	POS
PREAMBULO	PREAMBULO	PROPN
Presidencia	presidencia	NOUN
Republica	Republica	PROPN
Casa	Casa	PROPN
Civil	Civil	PROPN
Subchefia	Subchefia	PROPN
Assuntos	Assuntos	PROPN
Juridicos	Juridicos	PROPN
LEI	LEI	PROPN
12.527	12.527	NUM
18	18	NUM
NOVEMBRO	NOVEMBRO	PROPN
2011	2011	NUM
Mensagem	mensagem	NOUN
veto	veto	NOUN
Vigencia	Vigencia	PROPN
Regulamento	Regulamento	PROPN
Regula	Regula	PROPN
acesso	acesso	NOUN
informacoes	informacoe	NOUN
previsto	prever	VERB
inciso	inciso	NOUN
XXXIII	XXXIII	ADJ
art.	art.	NOUN
5o	5o	ADJ
inciso	inciso	NOUN
II	ii	ADJ
SS	SS	PROPN
3o	3o	PROPN
art.	art.	NOUN
37	37	NUM
SS	SS	PROPN
2o	2o	PROPN
art.	art.	NOUN
216	216	NUM
Constituicao	Constituicao	PROPN
Federal	Federal	PROPN
altera	alterar	VERB
Lei	Lei	PROPN
8.112	8.112	NUM
11	11	NUM
dezembro	dezembro	NOUN
1990	1990	NUM
revoga	revogar	VERB
Lei	Lei	PROPN
11.111	11.111	NUM
5	5	NUM
maio	maio	NOUN
2005	2005	NUM
dispositivos	dispositivo	NOUN
Lei	Lei	PROPN
8.159	8.159	NUM
8	8	NUM
janeiro	janeiro	NOUN
1991	1991	NUM
providencias	providencia	NOUN
PRESIDENTA	PRESIDENTA	PROPN
REPUBLICA	REPUBLICA	PROPN
Faco	Faco	PROPN
Congresso	Congresso	PROPN
Nacional	Nacional	PROPN
decreta	decretar	VERB
sanciono	sanciono	VERB
seguinte	seguinte	ADJ
Lei	lei	NOUN
CAPITULO	CAPITULO	PROPN
I	I	PROPN
DISPOSICOES	DISPOSICOES	PROPN
GERAIS	GERAIS	PROPN
ARTIGO_1	ARTIGO_1	PROPN
Art.	Art.	PROPN
1o	1o	ADJ
Lei	Lei	PROPN
dispoe	dispoe	VERB
procedimentos	procedimento	NOUN
serem	ser	AUX
observados	observar	VERB
Uniao	Uniao	PROPN
Estados	Estados	PROPN
Distrito	Distrito	PROPN
Federal	Federal	PROPN
Municipios	Municipios	PROPN
garantir	garantir	VERB
acesso	acesso	NOUN
informacoes	informacoe	NOUN
previsto	prever	VERB
inciso	inciso	NOUN
XXXIII	XXXIII	ADJ
art.	art.	NOUN
5o	5o	ADJ
inciso	inciso	NOUN
II	ii	ADJ
SS	SS	PROPN
3o	3o	PROPN
art.	art.	NOUN
37	37	NUM
SS	SS	PROPN
2o	2o	PROPN
art.	art.	NOUN
216	216	NUM
Constituicao	Constituicao	PROPN
Federal	Federal	PROPN
Paragrafo	paragrafo	NOUN
unico	unico	ADJ
Subordinam-se	Subordinam-se	VERB
regime	regime	NOUN
Lei	Lei	PROPN
I	I	PROPN
orgaos	orgao	NOUN
publicos	publico	ADJ
integrantes	integrante	ADJ
administracao	administracao	NOUN
direta	direto	ADJ
Poderes	Poderes	PROPN
Executivo	Executivo	PROPN
Legislativo	Legislativo	PROPN
incluindo	incluir	VERB
Cortes	Cortes	PROPN
Contas	contas	PROPN
Judiciario	Judiciario	PROPN
Ministerio	Ministerio	PROPN
Publico	Publico	PROPN
II	II	ADJ
autarquias	autarquia	NOUN
fundacoes	fundacoes	PROPN
publicas	publico	ADJ
empresas	empresa	NOUN
publicas	publico	ADJ
sociedades	sociedade	NOUN
economia	economia	NOUN
mista	misturar	VERB
entidades	entidade	NOUN
controladas	controlar	VERB
direta	direto	ADJ
indiretamente	indiretamente	ADV
Uniao	Uniao	PROPN
Estados	Estados	PROPN
Distrito	Distrito	PROPN
Federal	Federal	PROPN
Municipios	Municipios	PROPN
ARTIGO_2	ARTIGO_2	PROPN
Art.	Art.	PROPN
2o	2o	PROPN
Aplicam-se	Aplicam-se	VERB
disposicoes	disposicoes	NOUN
Lei	Lei	NOUN
couber	couber	VERB
entidades	entidade	NOUN
privadas	privar	VERB
fins	fim	NOUN
lucrativos	lucrativo	ADJ
recebam	recebir	VERB
realizacao	realizacao	NOUN
acoes	acoes	NOUN
interesse	interesse	NOUN
publico	publico	ADJ
recursos	recurso	NOUN
publicos	publico	ADJ
diretamente	diretamente	ADV
orcamento	orcamento	NOUN
mediante	mediante	ADP
subvencoes	Subvencoes	NOUN
sociais	social	ADJ
contrato	contrato	NOUN
gestao	gestao	NOUN
termo	termo	NOUN
parceria	parceria	NOUN
convenios	convenio	NOUN
acordo	acordo	NOUN
ajustes	ajuste	NOUN
